y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,beta_nwet_frac,se_nwet_frac,p_nwet_frac,ci95_lo_nwet_frac,ci95_hi_nwet_frac,beta_logPET,se_logPET,p_logPET,ci95_lo_logPET,ci95_hi_logPET,beta_GP_x_logPET,se_GP_x_logPET,p_GP_x_logPET,ci95_lo_GP_x_logPET,ci95_hi_GP_x_logPET,beta_logR_dry,se_logR_dry,p_logR_dry,ci95_lo_logR_dry,ci95_hi_logR_dry,beta_log_pet_site,se_log_pet_site,p_log_pet_site,ci95_lo_log_pet_site,ci95_hi_log_pet_site,beta_nwet_site,se_nwet_site,p_nwet_site,ci95_lo_nwet_site,ci95_hi_nwet_site,beta_south,se_south,p_south,ci95_lo_south,ci95_hi_south,beta_northeast,se_northeast,p_northeast,ci95_lo_northeast,ci95_hi_northeast
logR_dry,8672,279,0.24964982284672843,True,GP+nwet_frac+logP,-4.1121090752257405,1.1250125921276812,0.00025701446426840065,-6.317093237950045,-1.9071249125014358,1.9871196093423906,0.10542512951780712,3.0153209990845594e-79,1.780490152422018,2.1937490662627632,South,Rdry_ctrl_nwet,-1.2500517818892556,0.6719196577747714,0.06282633507386708,-2.566990111632286,0.06688654785377479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,8211,262,0.3855544925267833,True,GP+nwet_frac+logP,0.21362523666104896,0.1524828295102087,0.16122036343095414,-0.08523561743972138,0.5124860907618193,-0.3117247471565565,0.011423600778005397,5.922842859973101e-164,-0.3341145932552108,-0.2893349010579022,Interior,q10_ctrl_nwet,-0.0399994188840624,0.09260513359366429,0.6657884949201112,-0.2215021455111647,0.14150330774303987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,8181,261,0.29102689012483707,True,GP+nwet_frac+logP,4.30089467239702,1.146058085067407,0.0001748899192789865,2.0546621014739612,6.547127243320079,1.931380136116323,0.11166560453816776,5.032773918259682e-67,1.7125195729096219,2.150240699323024,Interior,Rdry_ctrl_nwet,4.041442206292016,0.8053192314170556,5.209411673752722e-07,2.46304551665711,5.6198388959269225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,11374,336,0.23673454529450189,True,GP+nwet_frac+logP,0.6572724267045689,0.13062256578407497,4.857834662008429e-07,0.40125690219956794,0.9132879512095697,-0.0942921730202418,0.011743551838477652,9.805267897793118e-16,-0.11730911167423713,-0.07127523436624647,West,q10_ctrl_nwet,-0.05359867400889083,0.11077775846007254,0.6284996595687198,-0.27071909087871027,0.16352174286092863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,11147,328,0.16112216843787008,True,GP+nwet_frac+logP,-2.9556440150065395,0.8121817190697774,0.0002735487087183345,-4.547490933285131,-1.3637970967279478,0.5864002031716601,0.09540284309532884,7.917665156961932e-10,0.3994140666820898,0.7733863396612304,West,Rdry_ctrl_nwet,-0.1475390363135616,0.8394468603016391,0.8604845022142056,-1.7928246494400002,1.497746576812877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,12039,360,0.2655534322730697,True,GP+logP,0.6132455814565947,0.07061283953407321,3.800151887445523e-18,0.4748469591237051,0.7516442037894843,-0.18416285362022036,0.009584843469502275,2.8281403467550855e-82,-0.20294880161789874,-0.16537690562254198,low_PET,q10_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,11852,354,0.1756428373670571,True,GP+logP,-2.8102572909093944,0.4682703386263554,1.956757026173672e-09,-3.7280502896454264,-1.8924642921733623,1.2365245464680088,0.08176491446612247,1.1435110514137497e-51,1.0762682589154107,1.396780834020607,low_PET,Rdry_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,12039,360,0.8942304843635149,True,GP+logP,-1.1585937935491553,0.016470806921381656,0.0,-1.1908759819113763,-1.1263116051869342,0.06530079999723548,0.0017475304040548993,1.319198610213455e-305,0.061875703343399154,0.06872589665107182,low_PET,nwet_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,11428,355,0.20137279101307315,True,GP+logP,0.5072017217035685,0.05786253285720673,1.857302897755354e-18,0.3937932412491778,0.6206102021579591,-0.1903953464602122,0.012424305508171791,5.251666321504612e-53,-0.2147465377891515,-0.16604415513127288,mid_PET,q10_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,11121,345,0.16025603836188662,True,GP+logP,-2.201974602941418,0.3533017412291779,4.588711855092276e-10,-2.8944332914258966,-1.5095159144569394,1.353810275288635,0.10193333986402754,2.9707228983458936e-40,1.15402460033126,1.55359595024601,mid_PET,Rdry_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,11449,356,0.8849086389781908,True,GP+logP,-1.2491672018100326,0.016115966345742742,0.0,-1.280753915423748,-1.2175804881963173,0.0689207516975789,0.002506694058708941,2.0325705726782638e-166,0.06400772162224884,0.07383378177290896,mid_PET,nwet_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,11528,359,0.2930971785282308,True,GP+logP,0.4283244652775567,0.0461046837096287,1.5391294382018598e-20,0.3379609456880739,0.5186879848670395,-0.23594607786443067,0.012518823093096113,3.0919791374439807e-79,-0.2604825202557274,-0.21140963547313396,high_PET,q10_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,11488,357,0.2697179004740954,True,GP+logP,-1.4554115013208357,0.31576775863458983,4.0437683745011004e-06,-2.0743049357235686,-0.836518066918103,1.6964916982947253,0.08406557536194456,1.450473850358233e-90,1.5317261982456762,1.8612571983437745,high_PET,Rdry_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,11528,359,0.9008138554619974,True,GP+logP,-1.3357684413293833,0.01119855509482973,0.0,-1.3577172059941371,-1.3138196766646295,0.07128414368363276,0.0016213617115697432,0.0,0.06810633312304384,0.07446195424422167,high_PET,nwet_pet_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,3369,95,0.49599873129181704,True,GP+logP,0.13059841058886038,0.06233554933683433,0.036163242907449544,0.008422978932145442,0.2527738422455753,-0.17833448614246739,0.022930652397552934,7.419292386149733e-15,-0.22327773898367817,-0.1333912333012566,Northeast_highPET,q10_pet_within,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,3126,94,0.47912178562825214,True,GP+logP,-0.013844399494647289,0.07042594902109031,0.8441554846207128,-0.15187672315303818,0.1241879241637436,-0.21050562166102224,0.021102456693658882,1.9529653870463345e-23,-0.2518656767659098,-0.16914556655613464,Northeast_lowPET,q10_pet_within,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,4545,146,0.3781946027641956,True,GP+logP,0.4622928637755985,0.1073137502469299,1.6483991623825236e-05,0.25196177824568955,0.6726239493055074,-0.2711293151278682,0.015611597060012626,1.4625500527114811e-67,-0.3017274831066443,-0.24053114714909207,South_highPET,q10_pet_within,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,4370,141,0.3264150262352006,True,GP+logP,0.49086236420418855,0.1137916311614885,1.6054856810867663e-05,0.2678348653856054,0.7138898630227717,-0.20379944998737956,0.014841478221400748,6.553245615559502e-43,-0.23288821277866062,-0.1747106871960985,South_lowPET,q10_pet_within,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,19778,1074,0.29062012559582884,True,GP+logPET+GP_x_logPET+logP,0.15720039536201713,0.043309178832880504,0.0002837236772774075,0.0723159646495669,0.24208482607446735,-0.10265109789133593,0.008100785114114861,8.480463443920289e-37,-0.11852834496149925,-0.08677385082117262,all,q10_x_pet,,,,,,0.5070021517996888,0.01771111522910839,3.17072102713922e-180,0.4722890038245975,0.5417152997747801,3.6718846958603657,0.33735601899384865,1.3694411612000792e-27,3.010679048664612,4.33309034305612,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,19480,1056,0.23092983630220365,True,GP+logPET+GP_x_logPET+logP,0.29792184633784907,0.29050019980723685,0.3051047743421482,-0.27144808278602467,0.8672917754617229,0.8129508438650164,0.058205708666851104,2.4834478935317553e-44,0.6988697511833574,0.9270319365466754,all,Rdry_x_pet,,,,,,-3.2312470111766163,0.13480168501353404,5.666164543279721e-127,-3.4954534588584556,-2.967040563494777,3.4334103891165704,2.2829139723572247,0.1325917688921207,-1.0410187765068581,7.907839554739999,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,3822,189,0.48965431008119065,True,GP+logPET+GP_x_logPET+logP,0.10883454978682718,0.06411847301678722,0.08962149369445838,-0.01683534806977903,0.23450444764343337,-0.14508028681492127,0.020256745208474994,7.946611436682688e-13,-0.18478277786753655,-0.10537779576230598,Northeast,q10_x_pet,,,,,,0.31281770120231517,0.02998921830293973,1.7898411629047861e-25,0.2540399134040439,0.3715954890005864,1.5041176927940247,0.45885477213222725,0.001045520550453872,0.604778865280526,2.4034565203075235,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,5274,287,0.38267727518996164,True,GP+logPET+GP_x_logPET+logP,0.18833253366203803,0.09656012623088016,0.05112641020325723,-0.0009218360931284308,0.37758690341720447,-0.1230151568748879,0.014105558152825591,2.756545737320437e-18,-0.15066154283626138,-0.09536877091351441,South,q10_x_pet,,,,,,0.5245394760647916,0.031178320652133062,1.6319221387211739e-63,0.4634310904881694,0.5856478616414137,3.8135804643349305,0.7673850982290888,6.709861140035645e-07,2.309533309533185,5.317627619136676,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,34442,1055,0.42318439649679884,True,GP+logR_dry+logP,0.3872624567477107,0.02802413962833447,1.9607436031316092e-43,0.33233615237845343,0.442188761116968,-0.10376021416277603,0.005653299832825751,3.0713178129582484e-75,-0.11484047822892081,-0.09267995009663126,all,q10_ctrl_Rdry,,,,,,,,,,,,,,,,-0.07037565568523993,0.0024550154058960174,1.0107277309521943e-180,-0.0751873974622871,-0.06556391390819276,,,,,,,,,,,,,,,,,,,,
frac_q10,6461,188,0.6209283156050368,True,GP+logR_dry+logP,0.0676879953133112,0.037947010089981026,0.07446422868601107,-0.006686777784029652,0.14206276841065205,-0.08308987362381814,0.013260126631948156,3.7009619521579374e-10,-0.10907924425287693,-0.05710050299475935,Northeast,q10_ctrl_Rdry,,,,,,,,,,,,,,,,-0.0816572532533762,0.0027121409670414734,3.802516539435542e-199,-0.08697295186977312,-0.07634155463697927,,,,,,,,,,,,,,,,,,,,
frac_q10,8653,278,0.4601519085289423,True,GP+logR_dry+logP,0.39420493170573906,0.06547488879155541,1.7365996890378314e-09,0.2658765077825252,0.5225333556289529,-0.14063255556303705,0.009538315902290918,3.364591330520952e-49,-0.15932731120469293,-0.12193779992138118,South,q10_ctrl_Rdry,,,,,,,,,,,,,,,,-0.053199150217740604,0.0031036626449788733,7.36756903898934e-66,-0.05928221722206152,-0.04711608321341969,,,,,,,,,,,,,,,,,,,,
beta_GP,1074,1074,0.00013858332828031728,True,log_pet_site,,,,,,,,,,,all,slope_on_PET,,,,,,,,,,,,,,,,,,,,,0.02396974340045955,0.054112207323270815,0.6577919933909946,-0.08208823407711582,0.1300277208780349,,,,,,,,,,,,,,,
beta_GP,1074,1074,0.009665527992081424,True,nwet_site,,,,,,,,,,,all,slope_on_nwet,,,,,,,,,,,,,,,,,,,,,,,,,,-2.061401313781771,0.5743252455001283,0.0003316208899635869,-3.187058110374147,-0.9357445171893946,,,,,,,,,,
beta_GP,1074,1074,0.008063662666710325,True,log_pet_site+south+northeast,,,,,,,,,,,all,slope_on_PET_region,,,,,,,,,,,,,,,,,,,,,0.03175585410657736,0.0476019855408883,0.5047006180730822,-0.06154232314616011,0.1250540313593148,,,,,,0.13271733333725394,0.10631538858980119,0.21190801375902257,-0.075656999301137,0.3410916659756449,-0.27618898304698297,0.0898262733612038,0.0021071328544992646,-0.4522452437003921,-0.10013272239357385
