y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,beta_nwet_frac,se_nwet_frac,p_nwet_frac,ci95_lo_nwet_frac,ci95_hi_nwet_frac,beta_p95share,se_p95share,p_p95share,ci95_lo_p95share,ci95_hi_p95share
logR,8570,269,0.5226600822920792,True,GP+logP,-1.038988453645861,0.21649656688916455,1.5938101695733128e-06,-1.4633139275251903,-0.6146629797665316,1.4810384388668447,0.05531768798483042,6.608727829432177e-158,1.372617762708553,1.5894591150251365,CornBelt,hydro,,,,,,,,,,
logRP,8570,269,0.29711332823089054,True,GP+logP,-1.038988453645861,0.21649656688916452,1.5938101695733128e-06,-1.46331392752519,-0.6146629797665317,0.4810384388668461,0.05531768798483045,3.4401711085187436e-18,0.37261776270855435,0.5894591150251378,CornBelt,hydro,,,,,,,,,,
logR_dry,8562,269,0.2592927557816166,True,GP+logP,-1.1142134906708525,0.49352340475043954,0.023966177018226956,-2.0815015895092976,-0.14692539183240716,1.907343818345899,0.12985463400320157,7.661181418293182e-49,1.6528334124739938,2.1618542242178043,CornBelt,hydro,,,,,,,,,,
logR_wet,8570,269,0.40837480174185614,True,GP+logP,-1.7503795789002008,0.28358672971166055,6.730783205112946e-10,-2.3061993556285505,-1.194559802171851,1.2677304803534397,0.06347024686316727,9.343358286248847e-89,1.1433310824117655,1.392129878295114,CornBelt,hydro,,,,,,,,,,
logR,15601,521,0.4024360505738548,True,GP+logP,-0.826141435309567,0.1458085339995931,1.4622636134870893e-08,-1.1119209105873533,-0.5403619600317806,1.4750615582708213,0.05785911643663187,2.2963805115689043e-143,1.3616597738777134,1.5884633426639292,small,hydro,,,,,,,,,,
logRP,15601,521,0.13498365070648444,True,GP+logP,-0.8261414353095671,0.14580853399959307,1.462263613487079e-08,-1.1119209105873535,-0.5403619600317807,0.47506155827082025,0.05785911643663185,2.199751617974689e-16,0.36165977387771236,0.5884633426639282,small,hydro,,,,,,,,,,
logR_dry,15568,521,0.1983548239423808,True,GP+logP,-1.8874668946207465,0.31990555168625445,3.633353624793182e-09,-2.514470254380222,-1.260463534861271,1.805762794906841,0.08336981743262695,4.9274310706854246e-104,1.6423609553412128,1.9691646344724694,small,hydro,,,,,,,,,,
logR_wet,15594,521,0.2531909807101669,True,GP+logP,-0.9130650359455823,0.21654601281611172,2.481295195771662e-05,-1.3374874220609103,-0.48864264983025435,1.3124328810412464,0.06290923375059945,1.1780323852102698e-96,1.18913304859506,1.435732713487433,small,hydro,,,,,,,,,,
logR,12506,357,0.3670601078991984,True,GP+logP,-1.4299083236688832,0.2554057235280772,2.161198023429381e-08,-1.930494343229309,-0.9293223041084575,1.435658396879967,0.06681243790372036,2.0208337001251844e-102,1.3047084248693563,1.5666083688905776,mid,hydro,,,,,,,,,,
logRP,12506,357,0.15560357888948995,True,GP+logP,-1.4299083236688732,0.2554057235280773,2.161198023429887e-08,-1.9304943432292991,-0.9293223041084474,0.435658396879968,0.06681243790372039,7.001821687129397e-11,0.30470842486935723,0.5666083688905788,mid,hydro,,,,,,,,,,
logR_dry,12475,357,0.17399124132899713,True,GP+logP,-2.327814869694318,0.3669010909050594,2.2310593874091985e-10,-3.0469277937566908,-1.6087019456319451,1.3657310557450602,0.09114882540757914,9.408586142476816e-51,1.1870826407130757,1.5443794707770446,mid,hydro,,,,,,,,,,
logR_wet,12503,357,0.27613700963803534,True,GP+logP,-1.655485628371123,0.2818696018599916,4.273791256876503e-09,-2.2079398963533508,-1.1030313603888953,1.3600006978362411,0.07172217208730745,3.510658759609979e-80,1.2194278236521345,1.5005735720203477,mid,hydro,,,,,,,,,,
logR,6423,178,0.3215449875888764,True,GP+logP,-2.6681920060102358,0.33828451168359724,3.084979104502672e-15,-3.3312174654378053,-2.0051665465826662,0.9918843045891786,0.07002995464920407,1.5365227972674913e-45,0.8546281156377653,1.129140493540592,large,hydro,,,,,,,,,,
logRP,6423,178,0.149631359109889,True,GP+logP,-2.6681920060102358,0.3382845116835971,3.084979104502583e-15,-3.3312174654378053,-2.0051665465826662,-0.008115695410821468,0.07002995464920404,0.907740581625186,-0.1453718843622347,0.12914049354059176,large,hydro,,,,,,,,,,
logR_dry,6418,178,0.1607042698148401,True,GP+logP,-3.9800581610165775,0.5320561472689803,7.402750145654586e-14,-5.022869047416918,-2.937247274616237,0.951724689677592,0.09152218555843346,2.509660914010825e-25,0.7723445021966706,1.1311048771585135,large,hydro,,,,,,,,,,
logR_wet,6423,178,0.2550952085608075,True,GP+logP,-2.9994611413350003,0.44630926337989674,1.8099140064856587e-11,-3.874211223526199,-2.1247110591438014,1.0082150228005051,0.08118562596941796,2.0705254542132782e-35,0.8490941198381062,1.1673359257629041,large,hydro,,,,,,,,,,
logR,23480,729,0.35805313691027674,True,GP+logP,-1.323321148325691,0.15210619194962927,3.3193650780349966e-18,-1.6214438063725007,-1.0251984902788813,1.3066945149876361,0.04840088558186517,1.588669719209812e-160,1.2118305224273365,1.4015585075479358,dam,hydro,,,,,,,,,,
logRP,23480,729,0.11901823819076018,True,GP+logP,-1.3233211483256917,0.15210619194962924,3.3193650780348533e-18,-1.6214438063725014,-1.025198490278882,0.30669451498763467,0.04840088558186516,2.3497062463909154e-10,0.21183052242733497,0.4015585075479344,dam,hydro,,,,,,,,,,
logR_dry,23424,729,0.1695361857373754,True,GP+logP,-2.1432110695361777,0.2547490146614753,3.995531684410753e-17,-2.6425099633697355,-1.6439121757026198,1.4156679331577184,0.06648319275747233,1.3007769072244252e-100,1.2853632697758386,1.5459725965395983,dam,hydro,,,,,,,,,,
logR_wet,23474,729,0.25671955566451976,True,GP+logP,-1.439652662186979,0.18255564492304477,3.117687244025692e-15,-1.7974551514106292,-1.0818501729633287,1.1934415930841726,0.05258411332403987,4.9224147349431494e-114,1.0903786248100817,1.2965045613582635,dam,hydro,,,,,,,,,,
logR,11050,327,0.3583349972852621,True,GP+logP,-1.6387309113145858,0.24412251064335455,1.910034437593941e-11,-2.1172022399910566,-1.1602595826381148,1.4594735792248075,0.054176562083632224,7.632773157012596e-160,1.3532894687346901,1.5656576897149248,no_dam,hydro,,,,,,,,,,
logRP,11050,327,0.15283118131035267,True,GP+logP,-1.6387309113145794,0.2441225106433544,1.9100344375942385e-11,-2.11720223999105,-1.1602595826381088,0.45947357922480814,0.054176562083632224,2.2319024747806393e-17,0.3532894687346907,0.5656576897149256,no_dam,hydro,,,,,,,,,,
