y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,param,sample,family,reason,beta_logQ,se_logQ,p_logQ,ci95_lo_logQ,ci95_hi_logQ
logLoad_dry,15105,987.0,0.1360465504211904,True,GP+logP,-1.6581030361622535,0.43806001975522973,0.00015364388398852544,-2.5166848979494083,-0.7995211743750986,1.5033920985602023,0.08171644662667335,1.3713971868557805e-75,1.343230806227333,1.6635533908930715,TP,paired,load,,,,,,
logLoad_wet,16110,989.0,0.18584915763312937,True,GP+logP,-1.089784277628933,0.36823345239406474,0.0030814583029890263,-1.8115085822241443,-0.3680599730337216,1.5825742508355962,0.07394210334988136,1.2559437050646204e-101,1.4376503913286902,1.7274981103425022,TP,paired,load,,,,,,
logR,17881,989.0,0.39112915144591753,True,GP+logP,-1.167488842419123,0.17867953177624887,6.404365049856345e-11,-1.517694289475051,-0.817283395363195,1.3655013047988354,0.04901786997286959,8.80826805104634e-171,1.2694280450531437,1.461574564544527,TP,paired,load,,,,,,
logC,18129,1006.0,0.0243284813133563,True,GP+logP,0.30618802257241345,0.21274902419620895,0.150094362074651,-0.11079240259819662,0.7231684477430236,0.13609725611363765,0.02595662223989658,1.577660561923191e-07,0.08522321136312896,0.18697130086414634,TP,paired,load,,,,,,
logC_low,15331,1004.0,0.023825374470175853,True,GP+logP,0.42586094501583677,0.29721198876424587,0.1518999904711201,-0.1566638487356083,1.0083857387672819,0.08366854290340382,0.03321800401647404,0.011776524352068019,0.01856245139280785,0.1487746344139998,TP,paired,load,,,,,,
logC_high,16333,1006.0,0.027591919852365976,True,GP+logP,0.18921664631165316,0.2721639245220832,0.4869108957388151,-0.3442148436427076,0.7226481362660139,0.2648385612254509,0.03606909195367644,2.0958607530306716e-13,0.19414444004118164,0.3355326824097202,TP,paired,load,,,,,,
share_wet_load,16110,989.0,0.052239357991718416,True,GP+logP,0.02954522795593266,0.06818855995470635,0.6648061600406157,-0.10410189371294197,0.16319234962480728,-0.012530329912154635,0.010262408457655765,0.2220886324558191,-0.03264428088379918,0.00758362105948991,TP,paired,load,,,,,,
logLoad,5582,309.0,0.27472957073869975,True,GP+logP,-1.6212569252953888,0.6019785346636081,0.0070766863063533225,-2.801113172702257,-0.44140067788852044,1.0243095422027857,0.09281249748399471,2.5524091660927085e-28,0.8424003898189416,1.2062186945866298,TP,West,load_region,,,,,,
logLoad_dry,4228,307.0,0.12785147811077247,True,GP+logP,-2.6143491688474483,0.8553586758146335,0.002239851878397647,-4.290821367308002,-0.9378769703868948,0.5906145998432949,0.10138160901079019,5.688794743770288e-09,0.3919102974874247,0.7893189021991651,TP,West,load_region,,,,,,
logC_low,4349,315.0,0.03778609530984234,True,GP+logP,-0.9012671515963876,0.5095375118722127,0.07692817394895253,-1.8999423236380748,0.09740802044529961,0.009275572118497596,0.0525204042761131,0.8598155834723715,-0.09366252871616752,0.11221367295316272,TP,West,load_region,,,,,,
logC_high,5137,317.0,0.06813584449224352,True,GP+logP,-0.8027498108651501,0.55770167899052,0.15004026362930356,-1.895825015804088,0.29032539407378777,0.22505295188800237,0.06466889942576816,0.0005012638375653987,0.0983042380936538,0.35180166568235094,TP,West,load_region,,,,,,
logLoad,4122,253.0,0.39500000155243553,True,GP+logP,-0.29963183284259187,0.5699070882661977,0.5990580398792085,-1.4166292003784289,0.8173655346932452,1.7806826305584607,0.0996196253037348,1.852803263233827e-71,1.5854317528097654,1.9759335083071559,TP,Interior,load_region,,,,,,
logLoad_dry,3683,253.0,0.2366395275609796,True,GP+logP,-0.9343503514296403,1.0440333311958585,0.37081754358608954,-2.980618079232901,1.1119173763736203,2.027195711934029,0.19031370018071042,1.7090747833122554e-26,1.6541877138152825,2.400203710052775,TP,Interior,load_region,,,,,,
logC_low,3693,254.0,0.02507012339594039,True,GP+logP,-0.316096825964864,0.6850094301839981,0.6444765982005556,-1.6586906381958049,1.0264969862660769,0.02880957019742679,0.07981576933853916,0.7181361857079835,-0.1276264631044663,0.1852456034993199,TP,Interior,load_region,,,,,,
logC_high,3860,254.0,0.05375417088742285,True,GP+logP,0.890299084198057,0.5976224390758987,0.13629391919023418,-0.28101937274368705,2.061617541139801,0.19131930157682278,0.0709875862185017,0.007036555157575175,0.05218618923912757,0.33045241391451796,TP,Interior,load_region,,,,,,
logLoad,4739,260.0,0.3166812029590371,True,GP+logP,-0.8950173085706015,0.6262610088141916,0.15296278254892517,-2.1224663307681384,0.33243171362693524,1.8474582195218927,0.07978400308719144,1.2723074131815657e-118,1.691084446928565,2.0038319921152206,TP,South,load_region,,,,,,
logLoad_dry,4037,260.0,0.17183564526234152,True,GP+logP,-2.661298378730021,0.9729511911086927,0.006232636879150346,-4.568247672018406,-0.7543490854416361,1.7724472340390007,0.13133562371750682,1.660978892846349e-41,1.5150341416655828,2.0298603264124186,TP,South,load_region,,,,,,
logC_low,4132,268.0,0.029653256223858615,True,GP+logP,0.26007521070655265,0.6720401598836345,0.6987609791625753,-1.0570992988299106,1.577249720243016,0.03119277672242247,0.061904562351347094,0.6143422336690288,-0.090137935964932,0.15252348940977695,TP,South,load_region,,,,,,
logC_high,4380,268.0,0.035465388132522646,True,GP+logP,1.3701587035244964,0.5868931758815537,0.019564514094471196,0.21986921602431986,2.520448191024673,0.20368970905445327,0.06908295781591577,0.0031934095764687863,0.06828959978975854,0.339089818319148,TP,South,load_region,,,,,,
logLoad,3438,167.0,0.27201707464487024,True,GP+logP,0.7523601580962093,0.46090436497692006,0.10260444286668816,-0.15099579757585835,1.655716113768277,0.779862599306196,0.11847382379223505,4.623755041630657e-11,0.5476581715626707,1.0120670270497212,TP,Northeast,load_region,,,,,,
logLoad_dry,3157,167.0,0.3391898463617785,True,GP+logP,1.855282323341959,0.6237079826204536,0.002933699614997989,0.632837140535736,3.0777275061481824,1.3606070727928208,0.20012512554135703,1.0550743014349466e-11,0.968369034330204,1.7528451112554375,TP,Northeast,load_region,,,,,,
logC_low,3157,167.0,0.07798708252750586,True,GP+logP,1.828934104305712,0.5333631812885595,0.00060567664507738,0.7835614783004277,2.8743067303109964,0.1786695796870915,0.15589171783403089,0.2517482525608976,-0.1268725727556895,0.48421173212987245,TP,Northeast,load_region,,,,,,
logC_high,2956,167.0,0.04435465938068517,True,GP+logP,-0.04041444580637911,0.5637030757181196,0.9428449829419364,-1.1452521721883486,1.0644232805755904,0.11628269358407757,0.12468001659826988,0.35100122177564874,-0.12808564854038756,0.3606510357085427,TP,Northeast,load_region,,,,,,
logC_low,3157,167.0,0.07798708252750586,True,GP+logP,1.828934104305712,0.5333631812885595,0.00060567664507738,0.7835614783004277,2.8743067303109964,0.1786695796870915,0.15589171783403089,0.2517482525608976,-0.1268725727556895,0.48421173212987245,TP,Northeast,conflict_tp,,,,,,
logLoad_dry,3157,167.0,0.3391898463617785,True,GP+logP,1.855282323341959,0.6237079826204536,0.002933699614997989,0.632837140535736,3.0777275061481824,1.3606070727928208,0.20012512554135703,1.0550743014349466e-11,0.968369034330204,1.7528451112554375,TP,Northeast,conflict_tp,,,,,,
logC_low,4132,268.0,0.029653256223858615,True,GP+logP,0.26007521070655265,0.6720401598836345,0.6987609791625753,-1.0570992988299106,1.577249720243016,0.03119277672242247,0.061904562351347094,0.6143422336690288,-0.090137935964932,0.15252348940977695,TP,South,conflict_tp,,,,,,
logLoad_dry,4037,260.0,0.17183564526234152,True,GP+logP,-2.661298378730021,0.9729511911086927,0.006232636879150346,-4.568247672018406,-0.7543490854416361,1.7724472340390007,0.13133562371750682,1.660978892846349e-41,1.5150341416655828,2.0298603264124186,TP,South,conflict_tp,,,,,,
logC_low,2473,124.0,0.10243907231141292,True,GP+logP,1.5904353336970831,0.6476227020244539,0.014056925162643837,0.3211181621586383,2.859752505235528,0.11054879667969418,0.17651671251164028,0.5311316366825592,-0.23541760251253152,0.4565151958719199,TP,NE_urb_hi,conflict_tp,,,,,,
logLoad_dry,2473,124.0,0.34270797774205275,True,GP+logP,1.4688651426762656,0.7307487304981123,0.04442247129012494,0.03662394915159939,2.9011063362009315,1.2062872455158238,0.21639969574115003,2.484584028323806e-08,0.782151635597744,1.6304228554339035,TP,NE_urb_hi,conflict_tp,,,,,,
logC_low,684,43.0,0.09977626140453133,True,GP+logP,2.7644239478189228,1.0197016354365096,0.0067078083984693,0.7658454673867718,4.763002428251074,0.297544646386998,0.28778761772072287,0.3011812442375933,-0.26650871954219985,0.8615980123161959,TP,NE_urb_lo,conflict_tp,,,,,,
logLoad_dry,684,43.0,0.4136179066740069,True,GP+logP,2.108212433893239,1.1285667500253223,0.06175592731035038,-0.10373775030581056,4.320162618092288,2.1048619385749845,0.4865712039716524,1.5190527834990624e-05,1.1511999028762534,3.0585239742737156,TP,NE_urb_lo,conflict_tp,,,,,,
logC_low,2470,151.0,0.04832483597819548,True,GP+logP,-0.6205575317557154,0.8225450436565862,0.4505875060001604,-2.232716192984551,0.9916011294731201,0.0657825290751924,0.08051910696226999,0.41393965130716903,-0.0920320206381851,0.22359707878856988,TP,South_urb_hi,conflict_tp,,,,,,
logLoad_dry,2399,145.0,0.1874248695480465,True,GP+logP,-3.632272762312825,1.3215820302479198,0.005988182567881973,-6.2225259442140715,-1.0420195804115777,1.9129089395404555,0.1934784438592819,4.743246194670784e-23,1.5336981577914082,2.292119721289503,TP,South_urb_hi,conflict_tp,,,,,,
logC_low,1662,117.0,0.03443026719603248,True,GP+logP,1.7877840844414186,1.1359595930209574,0.11553147975101107,-0.43865580577243524,4.014223974655272,-0.03498795603723441,0.1069432099852739,0.7435439348239066,-0.24459279599947553,0.17461688392500674,TP,South_urb_lo,conflict_tp,,,,,,
