y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,reason
logR,6191,195.0,0.3310361237266465,True,GP+logP,-1.1248840267738112,0.2635973031953963,1.97734470091338e-05,-1.6415252474586728,-0.6082428060889494,1.426947964162012,0.0867222159057772,7.820005087779601e-61,1.256975544327182,1.596920383996842,nldi_up_only,network,
GQ,12642,369.0,0.0722886762779686,True,GP+logP,0.2784629391276186,0.0386483548920598,5.802685502254856e-13,0.2027135554774589,0.3542123227777782,0.0536391166570426,0.0078081443515965,6.436551668349419e-12,0.0383354349418235,0.0689427983722617,nldi_down,network_gq,
GQ,6191,195.0,0.0637709112548098,True,GP+logP,0.2682160411649795,0.0546173021771116,9.06937634913932e-07,0.1611680959650996,0.3752639863648593,0.0402568456561626,0.0135687711232649,0.0030084339802214,0.0136625429400963,0.0668511483722289,nldi_up_only,network_gq,
logL_month,6660,772.0,0.28913484541228907,True,GP+logP,-1.3169202393486996,0.35017052878349736,0.00016937291028498602,-2.003241864211701,-0.6305986144856984,1.2619539615223843,0.06852243523430451,9.659350258261268e-76,1.127652456330169,1.3962554667145994,TN,month_load,
logL_fwm,6660,772.0,0.3595128465120374,True,GP+logP,-0.9388876799335396,0.3023775212372947,0.001902673737039776,-1.5315367312931327,-0.3462386285739466,1.2787269123241167,0.06355989100418982,5.086676507694048e-90,1.1541518150946133,1.4033020095536202,TN,fwm_load,
logR,6660,772.0,0.46646736409097356,True,GP+logP,-1.5385759912306316,0.226338339426335,1.0631601017167217e-11,-1.9821909848268504,-1.0949609976344128,1.19434029969355,0.0581564050805986,1.0122242367741103e-93,1.0803558402652544,1.3083247591218454,TN,month_load_R,
logL_month,6456,706.0,0.24004565553704382,True,GP+logP,-0.6198793959613735,0.34720271883276643,0.07420408630366003,-1.3003842202079825,0.06062542828523543,1.1492208094353917,0.08644627228173433,2.5064624578334043e-40,0.9797892291654493,1.3186523897053342,NO3N,month_load,
logL_fwm,6456,706.0,0.2904205801923101,True,GP+logP,-0.6066074774216009,0.304034887720098,0.04602212191790768,-1.2025049073966723,-0.010710047446529702,1.1666799893632953,0.08568034952747543,3.1882845215557335e-42,0.99874959010664,1.3346103886199505,NO3N,fwm_load,
logR,6456,706.0,0.432545847029962,True,GP+logP,-1.0845369008275425,0.2524491958310386,1.7386051700417313e-05,-1.5793282325824773,-0.5897455690726077,1.2144077896890895,0.08215222034499688,1.9023595949373406e-49,1.0533923965628968,1.375423182815282,NO3N,month_load_R,
logL_month,10465,975.0,0.22916899327871187,True,GP+logP,-0.38166792090081,0.4206243121418167,0.3642035788941761,-1.2060764237207044,0.44274058191908455,1.6043254944419718,0.08563362936376785,2.578015728800333e-78,1.4364866650235353,1.7721643238604083,TP,month_load,
logL_fwm,10465,975.0,0.267295194054903,True,GP+logP,-0.49695237488210214,0.3865679002579316,0.19860014651240754,-1.25461153696692,0.2607067872027156,1.5845125677792171,0.08180066157756258,1.3715401756129968e-83,1.424186217175645,1.7448389183827893,TP,fwm_load,
logR,10465,975.0,0.4259691243194267,True,GP+logP,-1.2818953539453417,0.23959990898666558,8.78815608625403e-08,-1.7515025462582812,-0.8122881616324023,1.3073085858962004,0.06067140989035585,5.605568453166935e-103,1.1883948076198356,1.426222364172565,TP,month_load_R,
logLoad,11507,637.0,0.35902951962263574,True,GP+logP,-1.0552113621039432,0.25679149255085154,3.9700694321733235e-05,-1.5585134390398978,-0.5519092851679885,1.4840497666900048,0.06179190807946049,1.8522656450969388e-127,1.3629398523182525,1.605159681061757,TN,cxr_ref,
logLoad,10962,600.0,0.2574821544949787,True,GP+logP,-0.9831868383149848,0.30469173121006304,0.0012517207234114852,-1.5803716578738671,-0.3860020187561024,1.4634494765535309,0.08255498253948931,2.596685540316239e-70,1.3016446840317988,1.625254269075263,NO3N,cxr_ref,
logLoad,17881,989.0,0.25327822891490503,True,GP+logP,-0.858911084783778,0.28395288474646596,0.002487674679137611,-1.4154485121931042,-0.30237365737445177,1.502229099339134,0.058502235770322965,2.0508204622170786e-145,1.3875668242142303,1.6168913744640379,TP,cxr_ref,
